Full filepath,Full Class Index,sensitivityscore_before_layer1.0.conv1,sensitivityscore_After_layer1.0.conv1_0.5,sensitivityscore_After_layer1.0.conv1_0.6,sensitivityscore_After_layer1.0.conv1_0.7,sensitivityscore_before_layer1.0.conv2,sensitivityscore_After_layer1.0.conv2_0.5,sensitivityscore_After_layer1.0.conv2_0.6,sensitivityscore_After_layer1.0.conv2_0.7,sensitivityscore_before_layer1.0.conv3,sensitivityscore_After_layer1.0.conv3_0.5,sensitivityscore_After_layer1.0.conv3_0.6,sensitivityscore_After_layer1.0.conv3_0.7,sensitivityscore_before_layer4.0.conv1,sensitivityscore_After_layer4.0.conv1_0.5,sensitivityscore_After_layer4.0.conv1_0.6,sensitivityscore_After_layer4.0.conv1_0.7,sensitivityscore_before_layer4.0.conv2,sensitivityscore_After_layer4.0.conv2_0.5,sensitivityscore_After_layer4.0.conv2_0.6,sensitivityscore_After_layer4.0.conv2_0.7,sensitivityscore_before_layer4.0.conv3,sensitivityscore_After_layer4.0.conv3_0.5,sensitivityscore_After_layer4.0.conv3_0.6,sensitivityscore_After_layer4.0.conv3_0.7,sensitivityscore_before_layer4.1.conv1,sensitivityscore_After_layer4.1.conv1_0.5,sensitivityscore_After_layer4.1.conv1_0.6,sensitivityscore_After_layer4.1.conv1_0.7,sensitivityscore_before_layer4.1.conv2,sensitivityscore_After_layer4.1.conv2_0.5,sensitivityscore_After_layer4.1.conv2_0.6,sensitivityscore_After_layer4.1.conv2_0.7,sensitivityscore_before_layer4.1.conv3,sensitivityscore_After_layer4.1.conv3_0.5,sensitivityscore_After_layer4.1.conv3_0.6,sensitivityscore_After_layer4.1.conv3_0.7,sensitivityscore_before_layer4.2.conv1,sensitivityscore_After_layer4.2.conv1_0.5,sensitivityscore_After_layer4.2.conv1_0.6,sensitivityscore_After_layer4.2.conv1_0.7,sensitivityscore_before_layer4.2.conv2,sensitivityscore_After_layer4.2.conv2_0.5,sensitivityscore_After_layer4.2.conv2_0.6,sensitivityscore_After_layer4.2.conv2_0.7,sensitivityscore_before_layer4.2.conv3,sensitivityscore_After_layer4.2.conv3_0.5,sensitivityscore_After_layer4.2.conv3_0.6,sensitivityscore_After_layer4.2.conv3_0.7
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,0,-0.005655804,-0.0014240268,0.0053023202,0.004952962,-0.001161842,-0.0066458415,-0.004803941,-0.0037789384,0.0021923329,0.000304059,-0.00016807274,0.002710563,0.023929752,0.006950915,0.018288953,0.010550263,0.0050942525,-0.0010264935,0.0025686077,0.008503897,0.014904855,-0.0005176277,-0.0018539059,0.00014147721,0.015595588,-0.009959618,-0.019671384,-0.019176219,-0.008568432,-0.0016831337,0.0010715509,0.0133630335,0.0086631095,0.012312673,0.02632523,0.012350131,-0.0071837353,0.0028004684,-0.0012144689,0.012578743,0.0003813319,0.023656119,0.0067838426,0.008373963,0.0247374,0.106290795,0.05597704,0.061670095
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,0,0.00528371,0.0011737505,0.011993424,0.0082608545,0.003388091,0.011132724,0.015026739,0.02304401,0.0056696413,-0.0132122375,-0.004382172,-0.0028355801,-0.00030070043,0.00814264,0.0051667267,-0.0032578886,-0.0003562735,0.0038850228,-0.004941364,-0.012371032,0.0054877005,-0.00028858683,0.004684717,0.0130570475,-0.009223004,-0.018607907,-0.02739303,-0.033006623,-0.01830068,0.02365131,0.016099852,0.034420278,0.009872345,-0.023195228,-0.012163598,-0.020079996,-0.017336,-0.028165564,-0.02675319,-0.015928619,0.00071329996,0.030632108,0.011327086,0.011544067,0.021917086,0.10248142,0.051986247,0.06377962
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,0,0.011019983,0.0041274144,0.010791855,0.019567983,-0.0018137384,-0.002438126,0.0014934218,-0.0032185693,0.002868144,0.003268111,-0.0021246576,0.0013050305,0.018744607,0.018131249,0.019956343,0.0027638758,0.0033210975,-0.0043374887,0.011432508,-0.002394002,0.004277043,0.0065127267,0.0039894143,0.002331152,0.0043463144,-0.027601894,-0.017521072,-0.017160997,-0.008787834,0.014034458,0.019380447,0.042806298,0.017149804,-0.004568018,0.0044994783,-0.006093189,-0.0053793476,-0.038669184,-0.03369668,-0.021168187,0.008171976,0.038734704,0.017441954,0.009064786,0.01939635,0.106553346,0.05739915,0.06325422
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,0,-0.0031362479,-0.010073094,0.0037006545,0.003572508,-0.00087679934,-0.0028209449,-0.0037564656,-0.012976063,0.0009195255,-0.008550986,-0.0028707203,-0.0040801135,0.011590868,0.01782977,0.013311723,0.008843321,0.005607269,0.0070174187,0.0018159309,-0.01472145,-0.00033836626,0.013494398,0.015815563,0.020213408,-0.011887343,-0.027032524,-0.020562839,-0.03486968,-0.0090026,0.01197483,0.012085147,0.01608089,0.021579565,-0.002695823,-0.002407632,-0.01805048,0.00725701,-0.033531163,-0.037505947,-0.020747924,0.008952127,0.040714968,0.019382965,0.015689353,0.029807564,0.10962926,0.0567233,0.06930857
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,0,-0.0025315278,0.0018776017,0.005976763,0.009739528,-0.0025504793,-0.010937916,-0.00072913594,-3.1720352e-05,-0.000705407,-0.00071971363,-0.0044815456,-0.0032923569,0.016886622,0.022584878,0.012715078,-0.00572113,0.025686085,-0.0012011845,-0.0036118939,-0.0051983357,0.023988238,0.011690656,0.013001663,0.010316407,0.0040129106,-0.029401172,-0.023990517,-0.0333925,0.0037097493,-0.0011807028,-0.0033263173,0.026348116,0.02591408,0.0005548422,0.0026992941,-0.010966271,0.015098365,-0.035251595,-0.03422221,-0.020271521,0.022863284,0.042912383,0.01667765,0.01808041,0.0274215,0.112236425,0.060365982,0.065734394
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,0,-0.0069395043,-0.0014391728,-0.0009926972,0.0017174245,9.618816e-08,-0.010109679,-0.00010077283,-0.0052715167,-0.00039883808,0.0053822687,0.010270615,0.011361796,0.014983975,0.0064294776,-0.0010255926,0.009437712,0.027071457,-0.0001818901,0.0054064356,-0.0036703208,0.0021270015,0.011777632,0.012092741,0.0037932694,-0.0061636474,-0.022975616,-0.038295835,-0.03279673,-0.015824638,0.0213254,0.01658284,0.041153416,0.019914161,-0.0005374334,0.008437624,0.009780666,0.001498349,-0.033071734,-0.042844355,-0.024335556,0.0020466493,0.03621885,0.0076439357,0.012137128,0.0253994,0.104974434,0.05433569,0.06646234
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,0,-0.00861708,0.0004694159,0.0011453801,0.0017387234,0.0022050813,-0.008689933,-0.008048609,-0.0066966303,0.003985653,-0.008814119,0.00074025476,-0.007991567,0.0070390226,0.005233946,0.0036804224,0.013732564,0.0045404946,0.008710702,0.0077888425,-0.0052136877,0.0015686739,0.006172511,0.008376726,0.0021591643,-0.012731446,-0.013802683,-0.012149194,-0.0148633085,-0.0031268299,0.01203326,0.012419594,0.021285184,0.012257817,-0.0039986065,0.0017169041,-0.009975975,-0.0016667619,-0.027679464,-0.03304164,-0.022469135,-0.004209085,0.04184278,0.019428937,0.013670016,0.029148027,0.11440419,0.057432704,0.06674492
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,0,0.010963056,-0.0034069354,0.0047428515,0.006786024,0.0030608135,-0.0017503249,-0.007636298,-0.001885895,0.0021225163,-0.007182857,0.0016943823,-0.0015533286,0.0032972982,0.009902837,0.006114019,0.006741496,-0.010333727,-0.0023691845,0.0027663335,0.012961855,0.004418293,0.0033188344,0.015459836,-0.003486144,-0.01053687,-0.025067007,-0.01996408,-0.019485533,-0.006435063,0.018743366,0.023817778,0.030076262,0.012901462,-0.0008100164,0.0051759696,0.00042828568,-0.018787898,-0.031416684,-0.035336167,-0.025692876,-0.006179655,0.032163303,0.0055043423,0.008450097,0.025853777,0.109916426,0.05529213,0.06889666
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,0,0.00080756284,0.00061876635,-0.0041784346,0.010285816,0.00051336084,-0.008863426,-0.009194172,-0.005420748,0.00052640884,0.0018854982,0.0070892666,0.00050086225,0.014998307,0.0041797976,0.0023049926,-0.002925987,0.011329887,-9.957701e-05,0.0025646028,-0.003954827,0.0051016863,0.010499734,0.009295462,0.013552023,-0.004450267,-0.035505444,-0.030894633,-0.032468572,-0.025379285,0.015226064,0.011141574,0.029146502,0.03163648,-0.004855892,0.0009222764,-0.012199627,-0.0039256997,-0.015041512,-0.018835139,-0.009958077,-0.014229797,0.024946347,0.002669477,0.0050096447,0.02009312,0.109268546,0.055884242,0.071548104
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,0,-0.010284209,0.0048026657,0.0060512456,0.010697109,0.0052305856,-0.0076683606,-0.007310803,-0.005278671,0.0025619618,0.0036838,-0.0017210538,-0.001758997,0.016969796,0.0148914475,0.005738955,0.020179389,0.0200007,0.0038425038,-0.0018525515,0.007976098,0.0004347989,0.010790044,0.011750829,0.011201119,0.010030717,-0.007213713,-0.01564765,-0.0074349763,-0.009109711,0.0017362926,-0.0014586244,0.028936844,0.021136511,0.007494162,0.0096319895,0.009916205,-0.02323599,-0.014212515,-0.023399025,-0.0036146983,-0.009408244,0.03353997,0.001714373,0.0011829536,0.020073328,0.10856871,0.055350967,0.06790796
