Full filepath,Full Class Index,sensitivityscore_before_features.5.block.0.0,sensitivityscore_before_features.5.block.1.0,sensitivityscore_before_features.5.block.2.fc2,sensitivityscore_before_features.5.block.3.0,sensitivityscore_before_features.6.block.0.0,sensitivityscore_before_features.6.block.1.0,sensitivityscore_before_features.6.block.2.fc2,sensitivityscore_before_features.6.block.3.0,sensitivityscore_before_features.7.block.0.0,sensitivityscore_before_features.7.block.1.0,sensitivityscore_before_features.7.block.2.fc2,sensitivityscore_before_features.7.block.3.0,sensitivityscore_After_features.7.block.3.0_0.5,sensitivityscore_After_features.7.block.3.0_0.6,sensitivityscore_After_features.7.block.3.0_0.7,sensitivityscore_After_features.7.block.3.0_0.8
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,0,-0.00061187136,-0.00054195954,0.030464265,-0.020521425,-0.014223354,-0.006751379,0.0021212418,-0.04308112,-0.008345197,-0.0038740793,-0.12865803,-0.004904909,0.031844325,0.011646499,0.047047526,0.12433633
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,0,0.008732136,0.006929703,-0.1363464,-0.0024862364,0.0031710146,0.0004020559,0.06070776,-0.0024151886,0.013466751,0.009205006,0.051664215,0.017272804,-0.005188724,0.04801774,0.12738186,0.065660864
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,0,0.010902497,0.002263973,0.04713668,0.002264535,-0.0051327916,-0.0076273307,-0.08310657,0.008985542,0.009407076,-0.0004025509,-0.015656061,-0.015526069,0.06776866,0.04505969,0.063204244,0.0061823735
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,0,0.0024343,0.00076890574,-0.08868138,-0.012523012,0.005611419,-0.0045272647,-0.12102884,-0.009582198,-0.018101605,-0.0048638424,-0.021096133,-0.01027455,0.03617101,0.09413837,0.018866163,0.002931606
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,0,0.011769598,-0.0011573608,0.07544379,-0.017235797,-0.014204444,-0.014236823,-0.19191833,-0.041748893,-0.0025786357,-0.008759776,-0.05954627,-0.005535992,0.09490721,0.07779434,0.062623166,0.07605008
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,0,0.0051967166,0.004863137,-0.102139294,0.032565642,-0.004924641,-0.0015472281,-0.07265636,-0.01246856,0.0065863654,0.0011214353,-0.01533962,0.0040903054,0.042019278,0.07488945,0.068563275,-0.0054784752
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,0,-0.00089567434,0.00095930987,-0.040321127,-0.0053670127,0.00417819,0.002037036,0.14472221,0.006403802,0.013621898,0.005344251,-0.038168147,-0.007964366,0.003687214,0.04230796,-0.02194107,0.04346623
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,0,-0.000878879,0.00083072414,-0.12122683,0.008913554,0.00112366,-0.005082909,0.0052410327,-0.0035151038,0.0139812585,0.005061623,-0.09173258,0.040869966,0.019288253,0.06998574,0.011885986,-0.019707417
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,0,-0.0003267941,0.009811285,0.005657777,0.012023093,-0.0065957215,-0.004874677,-0.06895037,-0.018888835,0.030198742,0.007610476,-0.0038055107,0.03148977,-0.018791538,-0.06445463,-0.06250877,0.029702
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,0,0.004411226,-0.0029199629,0.0053037624,-0.03814617,0.003149041,0.0032968381,0.0746775,0.001808512,0.004012759,-0.004429573,-0.124079004,-0.016548585,0.016649805,0.035740536,0.08142038,0.05463064
