Full filepath,Full Class Index,sensitivityscore_before_features.5.block.1.0,sensitivityscore_After_features.5.block.1.0_0.5,sensitivityscore_After_features.5.block.1.0_0.6,sensitivityscore_before_features.5.block.3.0,sensitivityscore_After_features.5.block.3.0_0.5,sensitivityscore_After_features.5.block.3.0_0.6
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,0,0.0016530498,0.0024721706,-0.0057292823,0.046990663,-0.006163448,-0.025861347
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,0,-0.008760642,-0.0008525926,0.00802276,0.003627289,0.007562476,-0.0013637114
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,0,0.00043438363,-0.0069976323,4.6340167e-05,0.0035524215,0.014582908,0.025099812
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,0,-0.0060789334,0.0040382333,0.0018723074,0.02188952,0.068244025,0.065500796
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,0,0.0010654374,0.00032792822,-0.003381892,0.032771163,0.0394743,0.018302316
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,0,0.003533963,0.004497503,0.00057987846,0.009153675,-0.012485837,-0.011942476
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,0,0.0057148784,0.01100204,0.014276542,0.055777773,0.024790727,-0.015429788
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,0,-0.00061380444,-0.0063337106,-0.007908076,0.019078925,-0.052680865,-0.035166215
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,0,-0.0011072408,0.0009477859,0.0055563687,0.009410196,0.035831176,0.0061706156
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,0,0.0050533917,0.0034042152,0.006433693,0.0500778,-0.029974317,-0.019428197
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,0,0.0051900684,0.0051208176,0.003281859,0.04673614,0.011131126,0.017575337
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,0,0.009318407,0.005564641,0.0030411736,0.04720176,0.0064087613,-0.01967947
